instance,path,configuration,suppression_state,transform_4x4
"垫片 6-10-1-改1.15-3","D:\WheelLeg\垫片 6-10-1-改1.15.SLDPRT","默认","2","2.7755575615628909E-16;0.32118997460026405;-0.9470147835257281;-1.1102230246251573E-16;0.9470147835257281;0.32118997460026405;0.99999999999999989;1.5991635463071672E-17;2.9850865484066616E-16;0.069000000000000047;0.042499999999999989;-0.020000000000000007;1;0;0;0"
"法兰轴承F698 8-19-6-改1.15-9","D:\WheelLeg\法兰轴承F698 8-19-6-改1.15.SLDPRT","默认","2","2.2077066737236084E-17;0.99999933258595441;-0.0011553474135105267;1;2.4699480741935398E-17;2.8449465006019636E-16;2.8449465006019636E-16;-0.0011553474135105272;-0.99999933258595441;0.19149999999999981;-0.23200194434282628;0.10258034605834282;1;0;0;0"
"塞打螺栓M5-φ6-20-改1.15-1","D:\WheelLeg\塞打螺栓M5-φ6-20-改1.15.SLDPRT","默认","2","1.9671546070288909E-16;-0.41881974808469041;0.90806939085858229;-1;-1.4545998313419494E-16;1.4954137709875557E-16;6.9456876394230515E-17;-0.90806939085858229;-0.41881974808469041;0.16350000000000001;-0.14837294124166098;0.088327253757509328;1;0;0;0"
"防松螺母M6-改1.15-5","D:\WheelLeg\防松螺母M6-改1.15.SLDPRT","默认","2","3.3306690738754696E-16;-0.19560568993293792;0.98068262657490735;-5.5511151231257759E-17;0.98068262657490746;0.19560568993293792;-0.99999999999999989;-1.1958860380703782E-16;3.1577463252643917E-16;0.17650000000000002;-0.23200194434282628;0.10258034605834282;1;0;0;0"
"塞打螺栓M5-φ6-20-改1.15-2","D:\WheelLeg\塞打螺栓M5-φ6-20-改1.15.SLDPRT","默认","2","1.6653345369377343E-16;-0.55749879284902382;0.83017774962466995;-1;-1.2754542360450127E-16;1.1494771335896428E-16;4.1802161304531922E-17;-0.83017774962466995;-0.55749879284902382;0.16350000000000001;-0.13393543895852714;0.075179453606658495;1;0;0;0"
"塞打螺栓 M6-φ8-20-改1.15-5","D:\WheelLeg\塞打螺栓 M6-φ8-20-改1.15.SLDPRT","默认","2","-1.9428902930940239E-16;-0.031164742610793997;-0.99951426143802613;1;1.1796119636642288E-16;-1.6653345369377348E-16;9.0205620750793969E-17;-0.99951426143802591;0.031164742610794046;0.20550000000000004;-0.23200194434282628;0.10258034605834282;1;0;0;0"
"塞打螺栓 M6-φ8-20-改1.15-4","D:\WheelLeg\塞打螺栓 M6-φ8-20-改1.15.SLDPRT","默认","2","6.9388939039072271E-17;-0.89820193104179202;-0.43958308779205302;1;1.8287253055802883E-16;-2.1581249069237596E-16;2.7423086753787574E-16;-0.43958308779205302;0.89820193104179202;0.20550000000000004;-0.12534663436400947;0.14690748056219383;1;0;0;0"
"垫片 8-12-1-改1.15-1","D:\WheelLeg\垫片 8-12-1-改1.15.SLDPRT","默认","2","2.7755575615628909E-16;0.32118997460026405;-0.9470147835257281;-1.1102230246251573E-16;0.9470147835257281;0.32118997460026405;0.99999999999999989;1.5991635463071672E-17;2.9850865484066616E-16;0.19149999999999981;-0.23200194434282628;0.10258034605834282;1;0;0;0"
"垫片 8-12-0.5-改1.15-3","D:\WheelLeg\垫片 8-12-0.5-改1.15.SLDPRT","默认","2","2.0424563056024353E-16;0.1897852297132871;-0.98182562941831719;-9.6684576876675031E-18;-0.98182562941831719;-0.1897852297132871;-1;4.8255543468509489E-17;-1.9869866431752497E-16;0.19250000000000003;-0.12534663436400947;0.14690748056219383;1;0;0;0"
"防松螺母M6-改1.15-4","D:\WheelLeg\防松螺母M6-改1.15.SLDPRT","默认","2","0;0.59501997918296179;-0.80371090845720605;1.1102230246251564E-16;-0.80371090845720605;-0.59501997918296179;-0.99999999999999978;-8.9229835571159149E-17;-6.606048810009054E-17;0.17900000000000083;-0.12534663436400947;0.14690748056219383;1;0;0;0"
